season,round,date_utc,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score,winner_team,margin,is_final,is_grand_final,game_id
2024,12,2024-06-01 19:30:00,Kardinia Park,Geelong,Richmond,15,9,99,10,9,69,Geelong,30,0,0,35803
2024,12,2024-06-02 13:00:00,Traeger Park,Melbourne,Fremantle,7,7,49,22,9,141,Fremantle,-92,0,0,35804
2024,12,2024-06-02 16:00:00,Carrara,Gold Coast,Essendon,14,7,91,11,14,80,Gold Coast,11,0,0,35805
2024,13,2024-06-06 19:30:00,Adelaide Oval,Adelaide,Richmond,10,11,71,12,7,79,Richmond,-8,0,0,35806
2024,13,2024-06-07 19:40:00,Docklands,Western Bulldogs,Brisbane Lions,10,11,71,17,12,114,Brisbane Lions,-43,0,0,35807
2024,13,2024-06-08 13:45:00,York Park,Hawthorn,Greater Western Sydney,12,13,85,12,7,79,Hawthorn,6,0,0,35808
2024,13,2024-06-08 16:35:00,Perth Stadium,West Coast,North Melbourne,8,17,65,11,8,74,North Melbourne,-9,0,0,35809
2024,13,2024-06-08 19:30:00,Docklands,St Kilda,Gold Coast,7,9,51,7,6,48,St Kilda,3,0,0,35810
2024,13,2024-06-09 15:20:00,S.C.G.,Sydney,Geelong,16,16,112,12,10,82,Sydney,30,0,0,35811
2024,13,2024-06-09 19:20:00,M.C.G.,Essendon,Carlton,9,16,70,15,6,96,Carlton,-26,0,0,35812
2024,13,2024-06-10 15:20:00,M.C.G.,Collingwood,Melbourne,14,5,89,6,15,51,Collingwood,38,0,0,35813
2024,14,2024-06-14 19:40:00,Gabba,Brisbane Lions,St Kilda,19,12,126,16,10,106,Brisbane Lions,20,0,0,35814
2024,14,2024-06-15 13:45:00,Docklands,Western Bulldogs,Fremantle,23,11,149,12,10,82,Western Bulldogs,67,0,0,35815
2024,14,2024-06-15 16:35:00,M.C.G.,Richmond,Hawthorn,6,13,49,14,13,97,Hawthorn,-48,0,0,35816
2024,14,2024-06-15 19:30:00,Adelaide Oval,Adelaide,Sydney,10,7,67,16,13,109,Sydney,-42,0,0,35817
2024,14,2024-06-16 13:00:00,Docklands,North Melbourne,Collingwood,19,4,118,18,11,119,Collingwood,-1,0,0,35818
2024,14,2024-06-16 16:00:00,Sydney Showground,Greater Western Sydney,Port Adelaide,9,19,73,6,15,51,Greater Western Sydney,22,0,0,35819
2024,15,2024-06-21 19:40:00,M.C.G.,Carlton,Geelong,21,12,138,11,9,75,Carlton,63,0,0,35820
